"respondentid","RCa10","WA01_c","WA02_c","WA03_c","WA04_c","WA07_c","WB01_c","WB04_c","WB05_c","WC03_c","WC04_c","WC05_c","WC06_c","WD01_c","WD02_c","WE01_c","WFa01_c","WFa02_c","WFa03_c","WFb02_c","WFc01_c","WFC02_c","WG01_c","WG02_c","WHb01_c","WHc01_c","WHc02_c","WHd01_c","RD01_c","ABo04_c","ABo05_c","ABo06_c","ABo07_c","ABo08_c","ABo09_c","ABo10_c","ABo11_c","ABo12_c","ABo13_c","ABo14_c","ABo15_c","CA02_c","CBa01_c","CBa02_c","CBb01_c","CCa02_c","CDa05_c","CDb01_c","CDd01_c","CDd04_c","CEa01_c","CFb01_c","EB01_c","EC01_c","ED01_c","EE01_c","KB01_c","KF03_c","MA01_c","MA04_c","MB01_c","MB02_c","MB03_c","SB01_c","SB02_c"
10706461,"Yes","male",51,"four-year college degree","$75,000 to less than $100,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once a week","catholic","no one in household has served",1,0,"never married",NA,"california (ca)","urban","yes",1,NA,"no",NA,NA,"kerry","somewhat liberal",8,7,7,8,NA,NA,7,7,6,NA,"no",NA,"somewhat better","somewhat better","raise taxes if necessary","neither","somewhat favor","set withdrawal deadline","somewhat favor","strongly oppose","available with stricter limits","environment should be top priority","none",0,7,"several hours per day",4,NA,"democrat","somewhat liberal","some of the time","somewhat disagree","strongly disagree",NA,NA
10706502,"No","female",60,"four-year college degree","$35,000 to less than $50,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once a week","protestant","no one in household has served",1,0,"never married",NA,"maryland (md)","urban","yes",1,NA,"no",NA,NA,"bush","very liberal",2,3,2,2,NA,NA,5,2,4,NA,"no","wrong track","much better","somewhat worse","keep taxes as they are","increase regulation",NA,"set withdrawal deadline","somewhat favor",NA,"available to anyone","environment should be top priority","two hours but less than three",0,7,"at least once per week",1,NA,"republican","moderate",NA,NA,NA,7,7
10706611,"No","female",55,"four-year college degree","no answer",NA,"temporarily unemployed",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once a week","don't know","no one in household has served",1,2,"married",NA,"minnesota (mn)","suburban","yes",1,NA,"no answer",NA,NA,"bush","somewhat liberal",2,2,2,2,NA,NA,6,0,2,NA,"no",NA,"somewhat better","somewhat better","cut taxes","increase competition","strongly oppose","keep troops until stable government","don't know","strongly favor","available with stricter limits","more important to keep economy growing","two hours but less than three",3,0,"at least once per week",7,NA,"other","somewhat conservative","never","somewhat disagree","somewhat agree",NA,NA
10706830,"No","female",44,"high school diploma or equivalent","$150,000 or more",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"few times a year","protestant","no one in household has served",2,0,"married",NA,"oklahoma (ok)","suburban","yes",1,NA,"yes","no",NA,"bush","very liberal",1,0,0,0,NA,NA,0,0,0,NA,"yes","right direction","somewhat worse","much better","keep taxes as they are","increase competition",NA,"keep troops until stable government","strongly favor","strongly favor","not permitted except for rape, incest, or life risk","more important to keep economy growing","one hour but less than two",0,0,"at least once per week",7,NA,"republican","somewhat conservative",NA,NA,NA,8,7
10706833,"Yes","male",34,"graduate or professional degree","$100,000 to less than $150,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"never","catholic","no one in household has served",2,2,"married",NA,"wisconsin (wi)","suburban","yes",1,NA,"yes","no",NA,"kerry","somewhat liberal",10,10,8,10,NA,NA,8,10,8,NA,"no","wrong track","same","same","raise taxes if necessary","increase regulation",NA,"withdraw as soon as possible","somewhat oppose","strongly oppose","available to anyone","environment should be top priority","two hours but less than three",2,7,"several hours per day",1,NA,"democrat","somewhat liberal",NA,NA,NA,10,10
10707059,"No","male",32,"four-year college degree","$100,000 to less than $150,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once a week","protestant","no one in household has served",2,3,"married",NA,"utah (ut)","suburban","yes",2,NA,"no",NA,NA,"bush","somewhat liberal",5,5,3,3,NA,NA,9,2,3,NA,"yes","wrong track","much better","same","keep taxes as they are","increase competition",NA,"keep troops until stable government","somewhat favor","somewhat oppose","not permitted except for rape, incest, or life risk","more important to keep economy growing","none",0,7,"several hours per day",3,NA,"republican","very conservative",NA,"strongly disagree","somewhat disagree",5,5
10707100,"No","male",61,"high school diploma or equivalent","$50,000 to less than $75,000",NA,"temporarily unemployed",NA,"yes, respondent","white or white hispanic","yes",NA,NA,"few times a year","catholic","no one in household has served",1,0,"married",NA,"maine (me)","suburban","yes",1,NA,"yes","no",NA,"bush","moderate",6,5,4,5,NA,NA,5,6,6,NA,"no",NA,"much better","much better","cut taxes","increase regulation","strongly oppose","withdraw as soon as possible","strongly favor","strongly oppose","not permitted except for rape, incest, or life risk","more important to keep economy growing","five hours",0,3,"several hours per day",2,NA,"democrat","somewhat conservative","most of the time","strongly agree","somewhat agree",NA,NA
10707123,"No","male",68,"four-year college degree",NA,"yes, more than $25,000","working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once a week","protestant","yes, respondent",2,0,"married","owned free and clear","ohio (oh)","suburban","yes",1,NA,"no",NA,NA,"bush","very liberal",3,2,3,2,NA,NA,3,0,2,NA,"no","right direction","somewhat better","same","keep taxes as they are","increase competition",NA,"keep troops until stable government","strongly oppose",NA,"not permitted except for rape, incest, or life risk","more important to keep economy growing","none",7,0,"almost every day",7,NA,"republican","somewhat conservative",NA,"strongly disagree","strongly agree",8,8
10707208,"No","male",62,"technical or vocational school after high school","$35,000 to less than $50,000",NA,"retired",NA,"yes, respondent","white or white hispanic","yes",NA,NA,"once a week","protestant","yes, respondent",1,0,"widowed",NA,"kentucky (ky)","rural","yes",1,NA,"yes","no",NA,"bush","very conservative",6,4,2,4,NA,NA,2,2,3,NA,"no","wrong track","much better","much better","cut taxes","increase competition",NA,"set withdrawal deadline","strongly oppose",NA,"not permitted except for rape, incest, or life risk","both equally","five hours",0,2,"several hours per day",2,NA,"democrat","moderate",NA,NA,NA,6,6
10707311,"No","female",68,"graduate or professional degree","$35,000 to less than $50,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once a week","jewish","no one in household has served",1,0,"divorced",NA,"pennsylvania (pa)","urban","yes",1,NA,"no",NA,NA,"kerry","moderate",5,6,4,6,NA,NA,9,6,4,NA,"no",NA,"somewhat better","somewhat worse","none of these","increase regulation","strongly favor","set withdrawal deadline","don't know","somewhat oppose","available with stricter limits","more important to keep economy growing","none",0,7,"several hours per day",7,NA,"independent","somewhat conservative","some of the time","somewhat agree","somewhat disagree",NA,NA
10707579,"Yes","female",31,"high school diploma or equivalent","$10,000 to less than $15,000",NA,"homemaker",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once or twice a month","protestant","no one in household has served",1,1,"married",NA,"pennsylvania (pa)","suburban","no",1,NA,"no",NA,NA,"kerry","somewhat liberal",7,8,6,9,NA,NA,8,9,7,NA,"no","right direction","somewhat worse","much better","cut taxes","increase regulation",NA,"set withdrawal deadline","somewhat favor",NA,"don't know","more important to keep economy growing","three hours but less than four",3,2,NA,4,NA,"democrat","somewhat liberal",NA,"somewhat agree","somewhat agree",8,8
10707801,"No","male",38,"graduate or professional school after college, no degree","$50,000 to less than $75,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"few times a year","protestant","no one in household has served",1,0,"never married",NA,"indiana (in)","urban","yes",1,"heterosexual or straight","yes","no",NA,"bush","somewhat liberal",9,8,7,10,NA,NA,10,8,10,NA,"no",NA,"somewhat better","somewhat worse","keep taxes as they are","neither","somewhat favor","keep troops until stable government","somewhat favor","strongly favor","not permitted except for rape, incest, or life risk","environment should be top priority","none",0,2,"several hours per day",7,NA,"independent","moderate","most of the time","somewhat disagree","strongly disagree",NA,NA
10707839,"No","female",78,"high school diploma or equivalent","$15,000 to less than $25,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","catholic","yes, other household member",1,0,"married",NA,"texas (tx)","urban","yes",1,NA,"no",NA,NA,"bush","somewhat liberal",1,7,1,2,NA,NA,5,0,1,NA,"no","wrong track","somewhat better","same","keep taxes as they are","increase competition",NA,"keep troops until stable government","strongly oppose","somewhat oppose","not permitted under any circumstances","more important to keep economy growing","five hours",0,4,"almost every day",0,NA,"republican","somewhat conservative",NA,NA,NA,7,6
10707949,"Yes","male",52,"graduate or professional degree","$150,000 or more",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once a week","protestant","yes, both",1,1,"married",NA,"michigan (mi)","suburban","yes",3,NA,"yes","no",NA,"kerry","moderate",8,8,7,8,NA,NA,8,8,8,NA,"no","wrong track","somewhat better","same","raise taxes if necessary","don't know",NA,"set withdrawal deadline","somewhat favor",NA,"available to anyone","environment should be top priority","less than one hour",7,0,"several hours per day",7,NA,"independent","moderate",NA,NA,NA,8,8
10707952,"Yes","female",65,"high school diploma or equivalent","$15,000 to less than $25,000",NA,"working part time","work for someone else","yes, other household member","white or white hispanic","yes",NA,NA,"more than once a week","protestant","no one in household has served",2,0,"married",NA,"west virginia (wv)","rural","no",1,NA,"yes","no",NA,"kerry","moderate",8,8,8,8,NA,NA,8,7,8,NA,"no","wrong track","much better","much better","keep taxes as they are","increase regulation",NA,"set withdrawal deadline","don't know","don't know","available with stricter limits","more important to keep economy growing","one hour but less than two",0,2,NA,1,NA,"democrat","moderate",NA,"somewhat agree","strongly agree",9,7
10707971,NA,"male",64,"graduate or professional school after college, no degree",NA,"yes, more than $25,000","retired",NA,"no union members in household","white or white hispanic","no","yes",40,"few times a year","no answer","no one in household has served",1,0,"widowed","owned with mortgage or loan","ohio (oh)","suburban","no",1,NA,"yes","no","employer plan","kerry","moderate",9,9,9,9,NA,NA,9,9,9,NA,"no","wrong track","somewhat better","somewhat better","keep taxes as they are","increase regulation",NA,"set withdrawal deadline","somewhat oppose",NA,"available to anyone","more important to keep economy growing","three hours but less than four",0,3,NA,0,NA,"democrat","moderate",NA,NA,NA,6,6
10707989,"Yes","female",62,"high school diploma or equivalent","$25,000 to less than $35,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once a week","protestant","yes, other household member",3,0,"married",NA,"pennsylvania (pa)","suburban","yes",1,NA,"yes","yes",NA,"kerry","somewhat conservative",10,10,8,10,NA,NA,10,10,8,NA,"no",NA,"much worse","same","cut taxes","increase competition","somewhat favor","set withdrawal deadline","somewhat favor","strongly favor","not permitted except for rape, incest, or life risk","more important to keep economy growing","five hours",0,3,"almost every day",7,NA,"democrat","moderate","never","somewhat agree","strongly agree",NA,NA
10708042,"Don't know","female",89,"technical or vocational school after high school","$15,000 to less than $25,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once a week","catholic","yes, respondent",1,0,"widowed",NA,"minnesota (mn)","suburban","no",1,NA,"no",NA,NA,"don't know","moderate",5,4,4,4,NA,NA,4,4,4,NA,"yes","wrong track","somewhat worse","same","raise taxes if necessary","increase competition",NA,"withdraw as soon as possible","don't know","strongly oppose","not permitted under any circumstances","more important to keep economy growing","three hours but less than four",6,0,NA,3,NA,"democrat","somewhat conservative",NA,NA,NA,8,8
10708105,"Yes","male",59,"graduate or professional school after college, no degree","$150,000 or more",NA,"working full time","self-employed","no union members in household","other","yes",NA,NA,"never","catholic","no one in household has served",1,2,"divorced",NA,"new mexico (nm)","suburban","no",1,NA,"yes","no",NA,"kerry","somewhat liberal",7,10,8,10,NA,NA,10,7,10,NA,"no","right direction","much worse","somewhat worse","cut taxes","increase competition",NA,"withdraw as soon as possible","somewhat favor","strongly oppose","available to anyone","environment should be top priority","one hour but less than two",2,7,NA,2,NA,"republican","somewhat liberal",NA,"neither agree nor disagree","strongly agree",6,6
10708133,"Yes","female",54,"some college, no degree","$75,000 to less than $100,000",NA,"working full time","work for someone else","yes, respondent","white or white hispanic","yes",NA,NA,"never","catholic","no one in household has served",2,0,"living as married",NA,"nevada (nv)","suburban","yes",1,NA,"yes","no",NA,"kerry","somewhat liberal",10,9,7,10,NA,NA,10,9,10,NA,"no","wrong track","somewhat better","somewhat better","none of these","neither",NA,"set withdrawal deadline","somewhat favor",NA,"available to anyone","environment should be top priority","four hours but less than five",0,2,"almost every day",7,NA,"democrat","somewhat liberal",NA,"strongly disagree","somewhat agree",8,8
10708248,"Yes","male",35,"graduate or professional degree","$100,000 to less than $150,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"never","no religion / atheist / agnostic","no one in household has served",2,0,"married",NA,"texas (tx)","suburban","yes",1,NA,"no",NA,NA,"kerry","somewhat liberal",9,9,8,10,NA,NA,9,9,8,NA,"no","wrong track","somewhat better","somewhat worse","raise taxes if necessary","increase regulation",NA,"withdraw as soon as possible","somewhat favor","strongly oppose","available to anyone","environment should be top priority","four hours but less than five",0,7,"several hours per day",4,NA,"democrat","somewhat liberal",NA,NA,NA,5,5
10708426,"Yes","male",54,"some high school, no diploma","$15,000 to less than $25,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"few times a year","catholic","no one in household has served",1,1,"separated",NA,"ohio (oh)","rural","yes",1,NA,"no",NA,NA,"kerry","very conservative",10,10,10,10,NA,NA,10,10,10,NA,"no",NA,"same","same","keep taxes as they are","increase regulation","strongly oppose","withdraw as soon as possible","strongly favor","strongly oppose","not permitted except for rape, incest, or life risk","more important to keep economy growing","five hours",0,7,"rarely",3,NA,"democrat","moderate","some of the time","strongly agree","strongly agree",NA,NA
10708637,"Yes","female",66,"high school diploma or equivalent","$50,000 to less than $75,000","yes, more than $25,000","retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once a week","no denomination","no one in household has served",2,0,"married",NA,"georgia (ga)","suburban","yes",1,NA,"no",NA,NA,"kerry","somewhat liberal",9,8,8,9,NA,NA,9,9,10,NA,"no","wrong track","somewhat better","somewhat better","keep taxes as they are",NA,NA,"set withdrawal deadline","somewhat favor",NA,"available to anyone","neither","two hours but less than three",0,0,"almost every day",7,NA,"independent","somewhat liberal",NA,"somewhat disagree","somewhat agree",10,10
10708727,NA,"male",23,"four-year college degree","$75,000 to less than $100,000",NA,"student",NA,"no union members in household","asian","yes",NA,NA,"once or twice a month","other religion","no one in household has served",3,0,"never married",NA,"texas (tx)","urban","yes",1,NA,"no",NA,NA,"kerry","somewhat liberal",6,5,5,6,NA,NA,6,7,6,NA,"no","wrong track","somewhat better","same","raise taxes if necessary","increase competition",NA,"set withdrawal deadline","somewhat favor",NA,"available to anyone","environment should be top priority","none",0,0,"almost every day",3,NA,"democrat","somewhat liberal",NA,NA,NA,7,7
10708918,NA,"female",40,"some high school, no diploma","$75,000 to less than $100,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"few times a year","protestant","no one in household has served",3,1,"married",NA,"kansas (ks)","rural","yes",2,NA,"no",NA,NA,"did not vote for president","don't know",998,998,998,998,NA,NA,998,998,998,NA,"don't know",NA,"much worse","somewhat worse","cut taxes","increase regulation","strongly oppose","set withdrawal deadline","don't know","strongly oppose","available to anyone","environment should be top priority","four hours but less than five",7,0,"at least once per week",2,NA,"independent","very liberal","some of the time","somewhat agree","strongly disagree",NA,NA
10709022,NA,"female",66,"high school diploma or equivalent","$15,000 to less than $25,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","other type of christian","yes, other household member",1,0,"married",NA,"tennessee (tn)","urban","yes",1,NA,"yes","no",NA,"bush","moderate",0,0,0,0,NA,NA,0,0,0,NA,"yes",NA,"much better","much better","cut taxes","increase regulation","somewhat favor","don't know","strongly oppose","strongly favor","available to anyone","neither","three hours but less than four",0,0,"almost every day",2,NA,"independent","somewhat liberal","never","strongly agree","strongly agree",NA,NA
10709178,"Don't know","female",62,"high school diploma or equivalent","$35,000 to less than $50,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once a week","catholic","yes, respondent",3,0,"divorced",NA,"california (ca)","urban","no",1,NA,"no",NA,NA,"bush","don't know",8,8,7,8,NA,NA,10,7,7,NA,"no","wrong track","much better","somewhat better","keep taxes as they are","increase regulation",NA,"set withdrawal deadline","strongly oppose","somewhat oppose","available with stricter limits","both equally","four hours but less than five",0,3,NA,7,NA,"democrat","moderate",NA,"strongly agree","strongly disagree",8,8
10709241,"Yes","female",61,"four-year college degree","$100,000 to less than $150,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"few times a year","no denomination","no one in household has served",2,0,"married",NA,"michigan (mi)","suburban","yes",1,NA,"no",NA,NA,"kerry","somewhat liberal",8,6,6,7,NA,NA,7,9,8,NA,"no","wrong track","somewhat better","somewhat better","keep taxes as they are","increase competition",NA,"withdraw as soon as possible","somewhat favor","somewhat favor","available to anyone","more important to keep economy growing","two hours but less than three",3,1,"several hours per day",7,NA,"independent","somewhat liberal",NA,NA,NA,6,6
10709396,"Yes","female",53,"associate's or two-year college degree","$50,000 to less than $75,000",NA,"working full time","work for someone else","yes, respondent","white or white hispanic","yes",NA,NA,"once a week","protestant","no one in household has served",1,0,"never married",NA,"nevada (nv)","suburban","yes",1,NA,"no",NA,NA,"kerry","somewhat liberal",9,9,9,10,NA,NA,10,9,8,NA,"no","wrong track","somewhat better","same","cut taxes","increase regulation",NA,"set withdrawal deadline","somewhat favor","strongly oppose","available to anyone","environment should be top priority","none",0,7,"almost every day",7,NA,"democrat","very liberal",NA,"somewhat agree","somewhat disagree",8,9
10709581,"No","male",51,"graduate or professional degree","$100,000 to less than $150,000",NA,"working full time","work for someone else","yes, other household member","white or white hispanic","yes",NA,NA,"once a week","protestant","yes, respondent",2,2,"married",NA,"washington (wa)","suburban","yes",1,NA,"no",NA,NA,"bush","very liberal",6,2,3,5,NA,NA,0,1,2,NA,"no",NA,"somewhat better","same","cut taxes","increase regulation","strongly oppose","keep troops until stable government","strongly favor","strongly favor","not permitted except for rape, incest, or life risk","more important to keep economy growing","less than one hour",7,3,"several hours per day",7,NA,"republican","very conservative","some of the time","somewhat disagree","strongly disagree",NA,NA
10709637,"Yes","male",44,"four-year college degree","$35,000 to less than $50,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"never","don't know","yes, other household member",2,2,"married",NA,"north carolina (nc)","urban","yes",1,NA,"no",NA,NA,"kerry","somewhat conservative",8,8,6,7,NA,NA,8,7,7,NA,"no","wrong track","much better","much better","cut taxes","increase competition",NA,"set withdrawal deadline","somewhat favor",NA,"available with stricter limits","environment should be top priority","three hours but less than four",3,7,"several hours per day",7,NA,"independent","moderate",NA,NA,NA,7,7
10709646,"No","female",57,"technical or vocational school after high school","no answer",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"few times a year","protestant","no one in household has served",1,0,"married",NA,"massachusetts (ma)","suburban","yes",1,NA,"yes","no",NA,"kerry","moderate",6,6,6,6,NA,NA,6,6,6,NA,"yes","wrong track","same","same","none of these","increase competition",NA,"set withdrawal deadline","somewhat oppose",NA,"available with stricter limits","environment should be top priority","one hour but less than two",0,0,"rarely",3,NA,"independent","moderate",NA,"strongly disagree","strongly agree",10,10
10709751,NA,"male",75,"high school diploma or equivalent","no answer",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","no denomination","yes, respondent",2,0,"married",NA,"illinois (il)","suburban","yes",1,NA,"no",NA,NA,"bush","very liberal",1,3,4,3,NA,NA,3,0,0,NA,"no",NA,"somewhat better","same","cut taxes","no answer","strongly oppose","keep troops until stable government","somewhat favor","strongly favor","not permitted except for rape, incest, or life risk","more important to keep economy growing","four hours but less than five",0,0,"almost every day",1,NA,"no answer","somewhat conservative","some of the time","strongly agree","somewhat disagree",NA,NA
10709787,"No","male",67,"some college, no degree","$75,000 to less than $100,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","no denomination","no one in household has served",1,0,"living as married",NA,"arizona (az)","suburban","no",2,NA,"yes","no",NA,"bush","very liberal",5,3,3,5,NA,NA,3,3,4,NA,"no","right direction","somewhat better","somewhat better","cut taxes","increase competition",NA,"keep troops until stable government","strongly oppose","strongly favor","not permitted except for rape, incest, or life risk","more important to keep economy growing","five hours",7,0,NA,7,NA,"independent","very conservative",NA,"strongly disagree","strongly agree",5,5
10709832,"Yes","female",42,"graduate or professional degree","$100,000 to less than $150,000",NA,"working part time","self-employed","no union members in household","white or white hispanic","yes",NA,NA,"few times a year","no denomination","no one in household has served",2,2,"married",NA,"michigan (mi)","suburban","yes",1,NA,"no",NA,NA,"kerry","moderate",5,998,7,5,NA,NA,7,7,7,NA,"no","wrong track","don't know","somewhat worse","don't know","increase regulation",NA,"set withdrawal deadline","don't know",NA,"available to anyone","don't know","none",5,998,"several hours per day",998,NA,"independent","somewhat liberal",NA,"don't know","somewhat disagree",998,998
10709991,"Yes","female",42,"graduate or professional degree","$75,000 to less than $100,000",NA,"working full time","work for someone else","yes, respondent","white or white hispanic","yes",NA,NA,"few times a year","no religion / atheist / agnostic","no one in household has served",1,2,"married",NA,"montana (mt)","rural","yes",1,NA,"yes","no",NA,"kerry","somewhat liberal",10,10,10,8,NA,NA,10,10,10,NA,"no","wrong track","same","same","raise taxes if necessary","increase regulation",NA,"no answer","no answer","no answer","available to anyone","environment should be top priority","none",0,0,"almost every day",7,NA,"democrat","don't know",NA,NA,NA,999,999
10710080,NA,"female",54,"graduate or professional school after college, no degree","$150,000 or more",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once a week","catholic","no one in household has served",3,1,"married",NA,"pennsylvania (pa)","suburban","yes",1,"heterosexual or straight","no",NA,NA,"bush","moderate",4,7,1,5,NA,NA,6,6,5,NA,"no",NA,"somewhat better","same","keep taxes as they are","increase competition","strongly oppose","set withdrawal deadline","somewhat oppose","somewhat favor","not permitted except for rape, incest, or life risk","more important to keep economy growing","one hour but less than two",0,7,"few times per month",2,NA,"republican","moderate","some of the time","somewhat disagree","somewhat agree",NA,NA
10710108,"No","male",82,"graduate or professional degree","$100,000 to less than $150,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once a week","protestant","yes, respondent",2,0,"married",NA,"virginia (va)","suburban","no",1,NA,"yes","yes",NA,"bush","very liberal",0,0,0,0,NA,NA,0,0,0,NA,"yes",NA,"somewhat better","same","keep taxes as they are","increase competition","strongly oppose","keep troops until stable government","somewhat favor","somewhat favor","available with stricter limits","more important to keep economy growing","three hours but less than four",0,6,NA,6,NA,"republican","somewhat conservative","most of the time","somewhat disagree","strongly disagree",NA,NA
10710132,"Yes","female",33,"graduate or professional degree","$75,000 to less than $100,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"few times a year","no denomination","no one in household has served",2,0,"living as married",NA,"illinois (il)","urban","yes",1,NA,"no",NA,NA,"kerry","somewhat liberal",9,9,6,9,NA,NA,9,10,9,NA,"no",NA,"much worse","same","raise taxes if necessary","increase regulation","somewhat favor","set withdrawal deadline","somewhat oppose","strongly oppose","available to anyone","environment should be top priority","none",0,7,"several hours per day",7,NA,"democrat","very liberal","some of the time","strongly disagree","somewhat disagree",NA,NA
10710154,"No","female",49,"four-year college degree","$100,000 to less than $150,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once or twice a month","protestant","no one in household has served",1,3,"married",NA,"missouri (mo)","suburban","yes",4,NA,"yes","yes",NA,"bush","very liberal",2,2,0,0,NA,NA,0,0,0,NA,"no","wrong track","somewhat better","much worse","raise taxes if necessary","neither",NA,"none of these","strongly oppose",NA,"available with stricter limits","both equally","none",2,0,"several hours per day",1,NA,"republican","somewhat conservative",NA,NA,NA,4,7
10710445,"No","male",56,"associate's or two-year college degree","$35,000 to less than $50,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"never","catholic","no one in household has served",2,0,"married",NA,"california (ca)","suburban","no",1,NA,"yes","no",NA,"bush","very liberal",3,2,2,0,NA,NA,2,5,3,NA,"no","don't know","same","same","cut taxes","increase regulation",NA,"keep troops until stable government","strongly favor","strongly oppose","available to anyone","more important to keep economy growing","three hours but less than four",0,7,NA,7,NA,"independent","moderate",NA,"somewhat agree","strongly agree",5,5
10710490,"No","female",64,"some college, no degree","$10,000 to less than $15,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"few times a year","catholic","yes, other household member",2,0,"married",NA,"ohio (oh)","suburban","yes",1,NA,"yes","no",NA,"kerry","moderate",8,8,5,7,NA,NA,10,8,8,NA,"no",NA,"same","same","cut taxes","increase regulation","strongly oppose","don't know","somewhat favor","strongly favor","not permitted under any circumstances","environment should be top priority","one hour but less than two",0,7,"almost every day",3,NA,"democrat","moderate","some of the time","strongly agree","strongly agree",NA,NA
10710527,"No","male",50,"four-year college degree","$50,000 to less than $75,000",NA,"working part time","self-employed","no union members in household","white or white hispanic","yes",NA,NA,"never","no denomination","no one in household has served",2,1,"married",NA,"virginia (va)","rural","yes",1,NA,"yes","no",NA,"bush","very liberal",5,7,3,6,NA,NA,8,4,5,NA,"no","right direction","somewhat better","somewhat better","keep taxes as they are","increase competition",NA,"keep troops until stable government","strongly favor","somewhat favor","available with stricter limits","more important to keep economy growing","two hours but less than three",0,0,"at least once per week",5,NA,"republican","somewhat conservative",NA,NA,NA,7,7
10710573,"Yes","female",74,"four-year college degree","$35,000 to less than $50,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once or twice a month","protestant","yes, other household member",2,0,"married",NA,"missouri (mo)","suburban","no",1,NA,"no",NA,NA,"kerry","somewhat liberal",9,8,7,10,NA,NA,9,10,8,NA,"no","wrong track","much worse","somewhat worse","keep taxes as they are","increase regulation",NA,"withdraw as soon as possible","somewhat oppose","strongly oppose","available with stricter limits","more important to keep economy growing","two hours but less than three",0,5,NA,5,NA,"democrat","somewhat conservative",NA,NA,NA,6,6
10710591,"Yes","female",50,"some college, no degree","$75,000 to less than $100,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","protestant","yes, other household member",2,0,"married",NA,"kansas (ks)","rural","yes",1,NA,"yes","no",NA,"kerry","very liberal",10,9,10,10,NA,NA,7,10,7,NA,"no","wrong track","somewhat better","much better","cut taxes","increase competition",NA,"withdraw as soon as possible","somewhat favor","somewhat oppose","not permitted under any circumstances","more important to keep economy growing","none",4,2,"several hours per day",7,NA,"democrat","somewhat liberal",NA,NA,NA,10,10
10710757,NA,"female",45,"high school diploma or equivalent","$15,000 to less than $25,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","no","no",22,"few times a year","catholic","no one in household has served",1,0,"divorced",NA,"new jersey (nj)","suburban","yes",1,NA,"no",NA,NA,"did not vote for president","don't know",998,998,998,998,NA,NA,998,998,998,NA,"yes","wrong track","somewhat worse","same","cut taxes","don't know",NA,"withdraw as soon as possible","strongly oppose","strongly oppose","not permitted except for rape, incest, or life risk","more important to keep economy growing","three hours but less than four",0,0,"never",0,NA,"don't know","moderate",NA,NA,NA,7,5
10710894,"Yes","female",65,"high school diploma or equivalent","no answer",NA,"retired",NA,"no union members in household","black, african american, or black hispanic","yes",NA,NA,"once a week","protestant","yes, other household member",1,0,"widowed",NA,"north carolina (nc)","urban","no",2,NA,"yes","no",NA,"kerry","somewhat liberal",10,10,10,10,NA,NA,8,10,8,NA,"no","wrong track","somewhat worse","same","raise taxes if necessary","don't know","strongly favor","withdraw as soon as possible","strongly favor","strongly favor","available with stricter limits","more important to keep economy growing","four hours but less than five",7,7,NA,7,NA,"independent","somewhat liberal","some of the time","strongly disagree","strongly agree",NA,NA
